aid,instName,address
1606673,University of Delaware,"210 Hullihen Hall, Newark, United States"
1606685,University of Akron,"302 Buchtel Common, Akron, United States"
1606738,Pennsylvania State Univ University Park,"110 Technology Center Building, UNIVERSITY PARK, United States"
1606743,Old Dominion University Research Foundation,"4111 Monarch Way, Norfolk, United States"
1606755,University of South Florida,"3702 Spectrum Blvd., Tampa, United States"
1606759,University of South Florida,"3702 Spectrum Blvd., Tampa, United States"
1606764,University of Maryland College Park,"3112 LEE BLDG 7809 Regents Drive, COLLEGE PARK, United States"
1606765,University of Alabama at Birmingham,"AB 1170, Birmingham, United States"
1606791,University of Illinois at Urbana-Champaign,"SUITE A, CHAMPAIGN, United States"
1606793,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1606794,William Marsh Rice University,"6100 MAIN ST, Houston, United States"
1606806,University of Hawaii,"2440 Campus Road, Box 368, HONOLULU, United States"
1606814,Virginia Polytechnic Institute and State University,"Sponsored Programs 0170, BLACKSBURG, United States"
1606818,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1606820,University of Minnesota-Twin Cities,"200 OAK ST SE, Minneapolis, United States"
1606826,University of Texas at San Antonio,"One UTSA Circle, San Antonio, United States"
1606833,Arizona State University,"ORSPA, TEMPE, United States"
1606836,University of Alabama in Huntsville,"301 Sparkman Drive, Huntsville, United States"
1606839,University of North Carolina at Chapel Hill,"104 AIRPORT DR STE 2200, CHAPEL HILL, United States"
1606840,Yeshiva University,"500 West 185th Street, New York, United States"
1606842,University of Wisconsin-Milwaukee,"P O BOX 340, Milwaukee, United States"
1606852,CUNY Hunter College,"695 Park Avenue, New York, United States"
1606853,George Washington University,"2121 Eye Street NW, Washington, United States"
1606856,University of New Mexico,"1700 Lomas Blvd. NE, Suite 2200, Albuquerque, United States"
1606858,California Institute of Technology,"1200 E California Blvd, PASADENA, United States"
1606868,University of Virginia Main Campus,"P.O. BOX 400195, CHARLOTTESVILLE, United States"
1606869,University of Pennsylvania,"Research Services, Philadelphia, United States"
1606872,University of California-Davis,"OR/Sponsored Programs, Davis, United States"
1606874,University of South Carolina at Columbia,"Sponsored Awards Management, COLUMBIA, United States"
1606882,Clemson University,"230 Kappa Street, CLEMSON, United States"
1606885,University of Arizona,"888 N Euclid Ave, Tucson, United States"
1606887,Oberlin College,"70 N. Professor Street, Oberlin, United States"
1606890,University of Kentucky Research Foundation,"109 Kinkead Hall, Lexington, United States"
1606895,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1606898,University of Texas at Arlington,"1 UNIVERSITY OF TEXAS AT, Arlington, United States"
1606903,Arizona State University,"ORSPA, TEMPE, United States"
1606904,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1606905,California State University-Fullerton Foundation,"1121 North State College Blvd., Fullerton, United States"
1606911,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1606912,University of Massachusetts Amherst,"Research Administration Building, Hadley, United States"
1606914,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1606916,Columbia University,"2960 Broadway, NEW YORK, United States"
1606917,Wayne State University,"5057 Woodward, Detroit, United States"
1606952,Florida State University,"874 Traditions Way, 3rd Floor, TALLAHASSEE, United States"
1606959,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1606967,Saint Olaf College,"1520 St. Olaf Avenue, Northfield, United States"
1606976,University of Southern California,"University Park, Los Angeles, United States"
1606979,University of California-Los Angeles,"10889 Wilshire Boulevard, LOS ANGELES, United States"
1606982,Oregon State University,"OREGON STATE UNIVERSITY, Corvallis, United States"
1606984,"Albert Einstein College of Medicine, Inc.","111 E 210 Street, Bronx, United States"
1606988,Humboldt State University Foundation,"P.O. Box 1185, Arcata, United States"
1606989,University of New Mexico,"1700 Lomas Blvd. NE, Suite 2200, Albuquerque, United States"
1606994,Arizona State University,"ORSPA, TEMPE, United States"
1607023,University of New Hampshire,"51 COLLEGE RD SERVICE BLDG 107, Durham, United States"
1607024,James Madison University,"MSC 5728, HARRISONBURG, United States"
1607031,University of Texas at Dallas,"800 W. Campbell Rd., AD15, Richardson, United States"
1607034,Massachusetts General Hospital,"Research Management, Somerville, United States"
1607041,Indiana University,"509 E 3RD ST, Bloomington, United States"
1607042,William Marsh Rice University,"6100 MAIN ST, Houston, United States"
1607049,Rollins College,"1000 Holt Avenue, Winter Park, United States"
1607059,New York University,"70 WASHINGTON SQUARE S, NEW YORK, United States"
1607069,Gordon Research Conferences,"512 Liberty Lane, West Kingston, United States"
1607072,"Board of Regents, NSHE, obo University of Nevada, Reno","1664 North Virginia Street, Reno, United States"
1607076,University of Tennessee Knoxville,"1 CIRCLE PARK, KNOXVILLE, United States"
1607089,Michigan State University,"Office of Sponsored Programs, East Lansing, United States"
1607091,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1607092,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1607096,Rutgers University New Brunswick,"33 Knightsbridge Road, Piscataway, United States"
1607101,Yale University,"Office of Sponsored Projects, New Haven, United States"
1607104,Columbia University,"2960 Broadway, NEW YORK, United States"
1607111,University of California-Irvine,"141 Innovation Drive, Ste 250, Irvine, United States"
1607118,Tufts University,"20 Professors Row, Medford, United States"
1607124,Gordon Research Conferences,"512 Liberty Lane, West Kingston, United States"
1607125,University of Arizona,"888 N Euclid Ave, Tucson, United States"
1607126,Cornell University,"373 Pine Tree Road, Ithaca, United States"
1607128,Smithsonian Institution Astrophysical Observatory,"60 Garden St, Cambridge, United States"
1607130,University of Mississippi,"100 BARR HALL, UNIVERSITY, United States"
1607132,Drexel University,"1505 Race St, 8th Floor, Philadelphia, United States"
1607135,Pennsylvania State Univ University Park,"110 Technology Center Building, UNIVERSITY PARK, United States"
1607138,University of Akron,"302 Buchtel Common, Akron, United States"
1607139,University of California-Davis,"OR/Sponsored Programs, Davis, United States"
1607140,University of Kentucky Research Foundation,"109 Kinkead Hall, Lexington, United States"
1607143,Hiram College,"PO Box 67, Hiram, United States"
1607145,University of California-San Diego,"Office of Contract & Grant Admin, La Jolla, United States"
1607156,Washington University,"CAMPUS BOX 1054, Saint Louis, United States"
1607160,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1607162,University of Maryland College Park,"3112 LEE BLDG 7809 Regents Drive, COLLEGE PARK, United States"
1607169,Syracuse University,"OFFICE OF SPONSORED PROGRAMS, SYRACUSE, United States"
1607173,Purdue University,"Young Hall, West Lafayette, United States"
1607178,Kenyon College,"22 Ransom Hall, Gambier, United States"
1607180,Purdue University,"Young Hall, West Lafayette, United States"
1607189,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1607190,Ohio State University,"Office of Sponsored Programs, Columbus, United States"
1607199,University of California-Berkeley,"Sponsored Projects Office, BERKELEY, United States"
1607201,Chicago Botanic Garden,"1000 Lake Cook Road, Glencoe, United States"
1607202,University of Nebraska-Lincoln,"151 Prem S. Paul Research Center, Lincoln, United States"
1607204,University of Colorado at Boulder,"3100 Marine Street, Room 481, Boulder, United States"
1607205,Columbia University,"2960 Broadway, NEW YORK, United States"
1607214,University of Oregon Eugene,"5219 UNIVERSITY OF OREGON, Eugene, United States"
1607215,William Marsh Rice University,"6100 MAIN ST, Houston, United States"
1607221,University of Massachusetts Boston,"100 Morrissey Boulevard, Dorchester, United States"
1607223,University of Colorado at Boulder,"3100 Marine Street, Room 481, Boulder, United States"
1607225,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1607233,University of Alabama Tuscaloosa,"801 University Blvd., Tuscaloosa, United States"
1607236,University of Utah,"75 S 2000 E, SALT LAKE CITY, United States"
1607241,Oregon State University,"OREGON STATE UNIVERSITY, Corvallis, United States"
1607242,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1607243,University of Arizona,"888 N Euclid Ave, Tucson, United States"
1607245,University of Hawaii,"2440 Campus Road, Box 368, HONOLULU, United States"
1607250,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1607251,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1607256,University of Toledo,"2801 W Bancroft St., MS 944, TOLEDO, United States"
1607260,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1607262,University of Kansas Center for Research Inc,"2385 IRVING HILL RD, LAWRENCE, United States"
1607263,University of Florida,"1 UNIVERSITY OF FLORIDA, GAINESVILLE, United States"
1607273,Brown University,"BOX 1929, Providence, United States"
1607277,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1607280,Rockefeller University,"1230 YORK AVENUE, NEW YORK, United States"
1607285,University of Arkansas,"210 Administration Building, FAYETTEVILLE, United States"
1607291,Long Island University,"700 Northern Blvd, Greenvale, United States"
1607295,Pennsylvania State Univ University Park,"110 Technology Center Building, UNIVERSITY PARK, United States"
1607296,University of Oklahoma Norman Campus,"201 Stephenson Parkway, NORMAN, United States"
1607299,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1607305,Iowa State University,"1138 Pearson, AMES, United States"
1607316,Georgia Tech Research Corporation,"Office of Sponsored Programs, Atlanta, United States"
1607318,University of Minnesota-Twin Cities,"200 OAK ST SE, Minneapolis, United States"
1607320,Texas A&M University Main Campus,"400 Harvey Mitchell Pkwy South, College Station, United States"
1607321,University of Delaware,"210 Hullihen Hall, Newark, United States"
1607323,University of Florida,"1 UNIVERSITY OF FLORIDA, GAINESVILLE, United States"
1607335,Ursinus College,"PO Box 1000, Collegeville, United States"
1607336,University of Oregon Eugene,"5219 UNIVERSITY OF OREGON, Eugene, United States"
1607339,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1607343,Montana State University,"309 MONTANA HALL, BOZEMAN, United States"
1607348,Columbia University,"2960 Broadway, NEW YORK, United States"
1607356,Brigham Young University,"A-285 ASB, Provo, United States"
1607358,University of Arizona,"888 N Euclid Ave, Tucson, United States"
1607359,University of North Carolina at Chapel Hill,"104 AIRPORT DR STE 2200, CHAPEL HILL, United States"
1607360,Indiana University,"509 E 3RD ST, Bloomington, United States"
1607374,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1607377,Bryn Mawr College,"101 N. Merion Avenue, Bryn Mawr, United States"
1607378,University of Pennsylvania,"Research Services, Philadelphia, United States"
1607381,University of Minnesota Duluth,"1049 University Drive, Duluth, United States"
1607385,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1607387,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1607390,Indiana University,"509 E 3RD ST, Bloomington, United States"
1607391,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1607396,"Board of Regents, NSHE, obo University of Nevada, Reno","1664 North Virginia Street, Reno, United States"
1607398,University of Iowa,"2 GILMORE HALL, IOWA CITY, United States"
1607405,West Virginia University Research Corporation,"P.O. Box 6845, Morgantown, United States"
1607410,Wichita State University,"1845 Fairmount, Wichita, United States"
1607411,Brown University,"BOX 1929, Providence, United States"
1607414,Pennsylvania State Univ University Park,"110 Technology Center Building, UNIVERSITY PARK, United States"
1607415,Michigan Technological University,"1400 Townsend Drive, Houghton, United States"
1607416,Syracuse University,"OFFICE OF SPONSORED PROGRAMS, SYRACUSE, United States"
1607417,University of California-Berkeley,"Sponsored Projects Office, BERKELEY, United States"
1607428,University of Alaska Anchorage Campus,"3211 PROVIDENCE DRIVE, ANCHORAGE, United States"
1607429,Central Michigan University,"Office of Research & Graduate St, Mount Pleasant, United States"
1607432,Temple University,"3340 N. Broad Street, PHILADELPHIA, United States"
1607439,University of Wisconsin-Madison,"21 North Park Street, MADISON, United States"
1607441,Cornell University,"373 Pine Tree Road, Ithaca, United States"
1607449,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1607451,Brown University,"BOX 1929, Providence, United States"
1607468,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1607475,University of Akron,"302 Buchtel Common, Akron, United States"
1607479,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1607481,University of Virginia Main Campus,"P.O. BOX 400195, CHARLOTTESVILLE, United States"
1607486,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1607487,Institute For Advanced Study,"EINSTEIN DRIVE, PRINCETON, United States"
1607489,University of Illinois at Urbana-Champaign,"SUITE A, CHAMPAIGN, United States"
1607491,University of California-Los Angeles,"10889 Wilshire Boulevard, LOS ANGELES, United States"
1607495,Washington State University,"280 Lighty, PULLMAN, United States"
1607502,University of California-Los Angeles,"10889 Wilshire Boulevard, LOS ANGELES, United States"
1607512,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1607516,University of Utah,"75 S 2000 E, SALT LAKE CITY, United States"
1607517,Pennsylvania State Univ University Park,"110 Technology Center Building, UNIVERSITY PARK, United States"
1607518,Baylor College of Medicine,"ONE BAYLOR PLAZA, HOUSTON, United States"
1607520,Rochester Institute of Tech,"1 LOMB MEMORIAL DR, ROCHESTER, United States"
1607532,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1607543,James Madison University,"MSC 5728, HARRISONBURG, United States"
1607544,University of Oklahoma Norman Campus,"201 Stephenson Parkway, NORMAN, United States"
1607547,University of Florida,"1 UNIVERSITY OF FLORIDA, GAINESVILLE, United States"
1607550,Iowa State University,"1138 Pearson, AMES, United States"
1607554,Brown University,"BOX 1929, Providence, United States"
1607555,University of Chicago,"5801 South Ellis Avenue, Chicago, United States"
1607565,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1607570,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1607571,University of Virginia Main Campus,"P.O. BOX 400195, CHARLOTTESVILLE, United States"
1607578,University of Notre Dame,"940 Grace Hall, NOTRE DAME, United States"
1607585,University of Wisconsin-Milwaukee,"P O BOX 340, Milwaukee, United States"
1607588,University of Central Florida,"4000 CNTRL FLORIDA BLVD, ORLANDO, United States"
1607601,Miami University,"500 E High Street, Oxford, United States"
1607603,Purdue University,"Young Hall, West Lafayette, United States"
1607606,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1607610,"Board of Regents, NSHE, obo University of Nevada, Reno","1664 North Virginia Street, Reno, United States"
1607611,Aspen Center For Physics,"700 West Gillespie Street, Aspen, United States"
1607612,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1607616,Brandeis University,"415 SOUTH ST MAILSTOP 116, WALTHAM, United States"
1607621,Johns Hopkins University,"3400 N CHARLES ST, Baltimore, United States"
1607630,California Institute of Technology,"1200 E California Blvd, PASADENA, United States"
1607631,Case Western Reserve University,"Nord Hall, Suite 615, CLEVELAND, United States"
1607633,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1607637,University of Connecticut,"438 Whitney Road Ext., Storrs, United States"
1607640,Northwestern University,"1801 Maple Ave., Evanston, United States"
1607643,University of Notre Dame,"940 Grace Hall, NOTRE DAME, United States"
1607644,University of Wisconsin-Madison,"21 North Park Street, MADISON, United States"
1607645,University of Maryland College Park,"3112 LEE BLDG 7809 Regents Drive, COLLEGE PARK, United States"
1607646,University of California-San Diego,"Office of Contract & Grant Admin, La Jolla, United States"
1607648,Pennsylvania State Univ University Park,"110 Technology Center Building, UNIVERSITY PARK, United States"
1607665,William Marsh Rice University,"6100 MAIN ST, Houston, United States"
1607670,University of Minnesota-Twin Cities,"200 OAK ST SE, Minneapolis, United States"
1607673,Texas Tech University,"349 Administration Bldg, Lubbock, United States"
1607692,University of North Texas,"1155 Union Circle #305250, DENTON, United States"
1607709,Northwestern University,"1801 Maple Ave., Evanston, United States"
1607711,New Mexico Institute of Mining and Technology,"801 Leroy Place, Socorro, United States"
1607719,University of California-Irvine,"141 Innovation Drive, Ste 250, Irvine, United States"
1607727,University of Utah,"75 S 2000 E, SALT LAKE CITY, United States"
1607733,University of Oregon Eugene,"5219 UNIVERSITY OF OREGON, Eugene, United States"
1607742,University of California-Los Angeles,"10889 Wilshire Boulevard, LOS ANGELES, United States"
1607744,Pomona College,"Alexander Hall, Claremont, United States"
1607746,Ball State University,"2000 University Ave, Muncie, United States"
1607749,University of California-Riverside,"Office of Research, RIVERSIDE, United States"
1607753,University of California-Berkeley,"Sponsored Projects Office, BERKELEY, United States"
1607762,"California State University, East Bay Foundation, Inc.","25800 Carlos Bee Blvd, Hayward, United States"
1607779,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1607786,Florida State University,"874 Traditions Way, 3rd Floor, TALLAHASSEE, United States"
1607793,Miami University,"500 E High Street, Oxford, United States"
1607795,University of Nebraska-Lincoln,"151 Prem S. Paul Research Center, Lincoln, United States"
1607796,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1607800,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1607801,Princeton University,"Off. of Research & Proj. Admin., Princeton, United States"
1607809,Virginia Polytechnic Institute and State University,"Sponsored Programs 0170, BLACKSBURG, United States"
1607811,Virginia Polytechnic Institute and State University,"Sponsored Programs 0170, BLACKSBURG, United States"
1607816,Boston College,"140 Commonwealth Avenue, Chestnut Hill, United States"
1607821,Johns Hopkins University,"3400 N CHARLES ST, Baltimore, United States"
1607830,Boston College,"140 Commonwealth Avenue, Chestnut Hill, United States"
1607832,Arizona State University,"ORSPA, TEMPE, United States"
1607833,SUNY at Buffalo,"520 Lee Entrance, Amherst, United States"
1607835,University of Minnesota-Twin Cities,"200 OAK ST SE, Minneapolis, United States"
1607838,Northwestern University,"1801 Maple Ave., Evanston, United States"
1607840,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1607845,Dartmouth College,"OFFICE OF SPONSORED PROJECTS, HANOVER, United States"
1607849,South Dakota School of Mines and Technology,"501 East Saint Joseph Street, Rapid City, United States"
1607854,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1607862,Washington University,"CAMPUS BOX 1054, Saint Louis, United States"
1607865,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1607868,Temple University,"3340 N. Broad Street, PHILADELPHIA, United States"
1607869,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1607871,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1607874,University of Tennessee Knoxville,"1 CIRCLE PARK, KNOXVILLE, United States"
1607878,University of Pennsylvania,"Research Services, Philadelphia, United States"
1607899,"Engineering Conferences International, Inc.","32 Broadway, New York, United States"
1607901,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1607905,Georgetown University,"37th & O St N W, Washington, United States"
1607911,University of Arizona,"888 N Euclid Ave, Tucson, United States"
1607913,University of Connecticut,"438 Whitney Road Ext., Storrs, United States"
1607916,University of Texas at Austin,"101 E. 27th Street, Suite 5.300, Austin, United States"
1607919,University of Georgia Research Foundation Inc,"310 East Campus Rd, ATHENS, United States"
1607921,"The University Corporation, Northridge","18111 Nordhoff Street, Northridge, United States"
1607922,University of Pittsburgh,"University Club, Pittsburgh, United States"
1607926,Pisgah Astronomical Research Institute,"One PARI Drive, Rosman, United States"
1607935,University of Pittsburgh,"University Club, Pittsburgh, United States"
1607942,Michigan State University,"Office of Sponsored Programs, East Lansing, United States"
1607943,Illinois Institute of Technology,"10 West 35th Street, Chicago, United States"
1607949,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1607952,Brevard College,"One Brevard College Drive, Brevard, United States"
1607962,Smith College,"10 ELM STREET, Northampton, United States"
1607965,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1607968,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1607971,University of Arizona,"888 N Euclid Ave, Tucson, United States"
1607973,Wayne State University,"5057 Woodward, Detroit, United States"
1607976,Mathematical Sciences Research Institute,"17 GAUSS WAY, BERKELEY, United States"
1607989,University of South Florida,"3702 Spectrum Blvd., Tampa, United States"
1607991,Drexel University,"1505 Race St, 8th Floor, Philadelphia, United States"
1607997,University of Colorado at Boulder,"3100 Marine Street, Room 481, Boulder, United States"
1608002,University of Illinois at Urbana-Champaign,"SUITE A, CHAMPAIGN, United States"
1608003,Carnegie-Mellon University,"5000 Forbes Avenue, PITTSBURGH, United States"
1608007,University of Arizona,"888 N Euclid Ave, Tucson, United States"
1608009,Texas A&M University Main Campus,"400 Harvey Mitchell Pkwy South, College Station, United States"
1608010,Spelman College,"350 Spelman Lane SW, Atlanta, United States"
1608014,Pennsylvania State Univ University Park,"110 Technology Center Building, UNIVERSITY PARK, United States"
1608018,Massachusetts Institute of Technology,"77 MASSACHUSETTS AVE, Cambridge, United States"
1608022,Virginia Commonwealth University,"P.O. Box 980568, RICHMOND, United States"
1608033,Temple University,"3340 N. Broad Street, PHILADELPHIA, United States"
1608035,John Wesley Powell Center,"2150 Center Avenue, Fort Collins, United States"
1608040,University of Wisconsin-Madison,"21 North Park Street, MADISON, United States"
1608043,Central Michigan University,"Office of Research & Graduate St, Mount Pleasant, United States"
1608049,Washington University,"CAMPUS BOX 1054, Saint Louis, United States"
1608055,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1608058,Ohio State University,"Office of Sponsored Programs, Columbus, United States"
1608065,Carnegie-Mellon University,"5000 Forbes Avenue, PITTSBURGH, United States"
1608072,Rutgers University New Brunswick,"33 Knightsbridge Road, Piscataway, United States"
1608077,New Jersey Institute of Technology,"323 DOCTOR MARTIN LUTHER, Newark, United States"
1608086,Colorado State University,"601 S Howes St, Fort Collins, United States"
1608088,University of Florida,"1 UNIVERSITY OF FLORIDA, GAINESVILLE, United States"
1608095,Wake Forest University,"1834 Wake Forest Road, Winston Salem, United States"
1608096,Columbia University,"2960 Broadway, NEW YORK, United States"
1608097,North Carolina State University,"CAMPUS BOX 7514, RALEIGH, United States"
1608111,Case Western Reserve University,"Nord Hall, Suite 615, CLEVELAND, United States"
1608112,Indiana University,"509 E 3RD ST, Bloomington, United States"
1608115,University of Minnesota-Twin Cities,"200 OAK ST SE, Minneapolis, United States"
1608125,Tufts University,"20 Professors Row, Medford, United States"
1608140,Old Dominion University Research Foundation,"4111 Monarch Way, Norfolk, United States"
1608143,SUNY at Stony Brook,"WEST 5510 FRK MEL LIB, Stony Brook, United States"
1608146,Colorado State University,"601 S Howes St, Fort Collins, United States"
1608147,Delaware State University,"1200 N. Dupont Highway, Dover, United States"
1608149,West Virginia University Research Corporation,"P.O. Box 6845, Morgantown, United States"
1608151,University of South Carolina at Columbia,"Sponsored Awards Management, COLUMBIA, United States"
1608171,Rensselaer Polytechnic Institute,"110 8TH ST, Troy, United States"
1608177,Oregon State University,"OREGON STATE UNIVERSITY, Corvallis, United States"
1608182,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1608194,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1608203,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1608210,Drexel University,"1505 Race St, 8th Floor, Philadelphia, United States"
1608211,Santa Fe Institute,"1399 HYDE PARK ROAD, SANTA FE, United States"
1608213,Miami University,"500 E High Street, Oxford, United States"
1608218,Northwestern University,"1801 Maple Ave., Evanston, United States"
1608221,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1608223,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1608224,University of Oklahoma Norman Campus,"201 Stephenson Parkway, NORMAN, United States"
1608236,The J. David Gladstone Institutes,"1650 Owens Street, San Francisco, United States"
1608238,University of Minnesota-Twin Cities,"200 OAK ST SE, Minneapolis, United States"
1608241,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1608249,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1608258,Northwestern University,"1801 Maple Ave., Evanston, United States"
1608259,Brown University,"BOX 1929, Providence, United States"
1608266,Oregon State University,"OREGON STATE UNIVERSITY, Corvallis, United States"
1608269,San Francisco State University,"1600 Holloway Ave, San Francisco, United States"
1608272,California State L A University Auxiliary Services Inc.,"5151 State University Drive, Los Angeles, United States"
1608275,University of Cincinnati Main Campus,"University Hall, Suite 530, Cincinnati, United States"
1608278,Scripps College,"1030 Columbia Ave., Claremont, United States"
1608279,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1608287,University of California-San Diego,"Office of Contract & Grant Admin, La Jolla, United States"
1608289,University of Arizona,"888 N Euclid Ave, Tucson, United States"
1608295,University of Alaska Fairbanks Campus,"West Ridge Research Bldg 008, Fairbanks, United States"
1608297,University of California-Santa Barbara,"Office of Research, Santa Barbara, United States"
1608314,University of California-Irvine,"141 Innovation Drive, Ste 250, Irvine, United States"
1608327,Hope College,"141 E. 12th Street, Holland, United States"
1608331,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1608333,University of North Carolina at Chapel Hill,"104 AIRPORT DR STE 2200, CHAPEL HILL, United States"
1608336,Vanderbilt University,"Sponsored Programs Administratio, Nashville, United States"
1608338,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1608344,Kansas State University,"2 FAIRCHILD HALL, MANHATTAN, United States"
1608361,University of Michigan Ann Arbor,"3003 South State St. Room 1062, Ann Arbor, United States"
1608364,Florida State University,"874 Traditions Way, 3rd Floor, TALLAHASSEE, United States"
1608366,University of Delaware,"210 Hullihen Hall, Newark, United States"
1608374,New York University,"70 WASHINGTON SQUARE S, NEW YORK, United States"
1608389,Rutgers University New Brunswick,"33 Knightsbridge Road, Piscataway, United States"
1608392,Ohio State University,"Office of Sponsored Programs, Columbus, United States"
1608398,Worcester Polytechnic Institute,"100 INSTITUTE RD, WORCESTER, United States"
1608401,Indiana University,"509 E 3RD ST, Bloomington, United States"
1608406,Stevens Institute of Technology,"CASTLE POINT ON HUDSON, HOBOKEN, United States"
1608423,Embry-Riddle Aeronautical University,"Sponsored Research Adm, Daytona Beach, United States"
1608424,University of Colorado at Boulder,"3100 Marine Street, Room 481, Boulder, United States"
1608427,Otterbein College,"1 S. Grove St., Westerville, United States"
1608432,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1608437,Columbia University,"2960 Broadway, NEW YORK, United States"
1608441,Case Western Reserve University,"Nord Hall, Suite 615, CLEVELAND, United States"
1608448,University of Massachusetts Boston,"100 Morrissey Boulevard, Dorchester, United States"
1608454,Duke University,"2200 W. Main St, Suite 710, Durham, United States"
1608457,Case Western Reserve University,"Nord Hall, Suite 615, CLEVELAND, United States"
1608461,Northeastern University,"360 HUNTINGTON AVE, BOSTON, United States"
1608463,Youngstown State University,"One University Plaza, Youngstown, United States"
1608464,University of Washington,"4333 Brooklyn Ave NE, Seattle, United States"
1608473,Vanderbilt University,"Sponsored Programs Administratio, Nashville, United States"
1608484,Southern Illinois University at Edwardsville,"Campus Box 1046, Edwardsville, United States"
1608489,Gordon Research Conferences,"512 Liberty Lane, West Kingston, United States"
1608492,University of Southern California,"University Park, Los Angeles, United States"
1608494,University of Southern California,"University Park, Los Angeles, United States"
1608496,Iowa State University,"1138 Pearson, AMES, United States"
1608501,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1608509,Harvard University,"1033 MASSACHUSETTS AVE, Cambridge, United States"
1608510,Seattle Pacific University,"3307 3rd Avenue West, Seattle, United States"
1608515,Southern Illinois University at Edwardsville,"Campus Box 1046, Edwardsville, United States"
1608521,University of Colorado at Boulder,"3100 Marine Street, Room 481, Boulder, United States"
1608525,Stanford University,"3160 Porter Drive, Palo Alto, United States"
1608537,Michigan Technological University,"1400 Townsend Drive, Houghton, United States"
1608540,Pennsylvania State Univ University Park,"110 Technology Center Building, UNIVERSITY PARK, United States"
